ticker,expense,segment,issuer,name,aum,return_ytd,return_1m,return_3m,return_1y,return_3y,return_5y,return_10y,flow_ytd,flow_1m,flow_3m,flow_1y,flow_3y
QLVD,0.32%,Equity: Developed Markets Ex-U.S. - Total Market,Northern Trust,FlexShares Developed Markets ex-US Quality Low Volatility Index Fund,75,-5.03%,-4.41%,-3.49%,1.52%,--,--,--,$0.00M,$0.00M,-$0.02M,-$8.44M,$63.04M
FYLD,0.59%,Equity: Developed Markets Ex-U.S. - Total Market,Cambria,Cambria Foreign Shareholder Yield ETF,50,-0.58%,0.29%,-1.47%,12.30%,10.70%,8.93%,--,$4.21M,$4.21M,$11.05M,$22.17M,$22.26M
PQIN,0.29%,Equity: Developed Markets Ex-U.S. - Total Market,Prudential,PGIM Quant Solutions Strategic Alpha International Equity ETF,38,-3.72%,-3.56%,-4.06%,2.53%,7.69%,--,--,$0.00M,$0.00M,$0.00M,$0.00M,$4.64M
RNDM,0.65%,Equity: Developed Markets Ex-U.S. - Total Market,First Trust,First Trust Developed International Equity Select ETF,29,-4.80%,-4.04%,-4.66%,1.58%,6.20%,--,--,$0.00M,$0.00M,$2.80M,$5.59M,$3.34M
RDMX,0.12%,Equity: Developed Markets Ex-U.S. - Total Market,State Street Global Advisors,SPDR Bloomberg SASB Developed Markets Ex US ESG Select ETF,28,--,--,--,--,--,--,--,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
FICS,0.70%,Equity: Developed Markets Ex-U.S. - Total Market,First Trust,First Trust International Developed Capital Strength ETF,23,-9.79%,-8.77%,-6.86%,5.40%,--,--,--,$3.52M,$9.00M,$10.80M,$21.33M,$21.33M
IDHD,0.30%,Equity: Developed Markets Ex-U.S. - Total Market,Invesco,Invesco S&P International Developed High Dividend Low Volatility ETF,19,-1.23%,-0.28%,-0.72%,4.60%,4.67%,5.34%,--,$0.00M,$0.00M,$0.00M,-$0.02M,$10.42M
ISZE,0.30%,Equity: Developed Markets Ex-U.S. - Total Market,Blackrock,iShares MSCI Intl Size Factor ETF,17,-4.93%,-4.53%,-6.84%,0.06%,7.23%,6.24%,--,$11.77M,$11.77M,-$0.67M,-$13.41M,$6.10M
FDEV,0.39%,Equity: Developed Markets Ex-U.S. - Total Market,Fidelity,Fidelity International Multifactor ETF,17,-6.37%,-5.60%,-4.81%,2.50%,--,--,--,$0.00M,$0.00M,$0.00M,$5.80M,$5.91M
BKCI,0.80%,Equity: Developed Markets Ex-U.S. - Total Market,BNY Mellon,BNY Mellon Concentrated International ETF,9,-8.63%,-8.25%,--,--,--,--,--,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
IDMO,0.25%,Equity: Developed Markets Ex-U.S. - Total Market,Invesco,Invesco S&P International Developed Momentum ETF,9,-6.95%,-6.18%,-5.73%,2.27%,15.25%,10.50%,--,$0.00M,$0.00M,-$7.39M,-$0.06M,$6.61M
AIIQ,0.79%,Equity: Developed Markets Ex-U.S. - Total Market,EquBot,AI Powered International Equity ETF,7,-7.16%,-6.67%,-10.37%,-6.93%,11.22%,--,--,-$3.11M,-$3.12M,-$3.12M,$0.09M,$3.27M
IDLB,0.45%,Equity: Developed Markets Ex-U.S. - Total Market,Invesco,Invesco FTSE International Low Beta Equal Weight ETF,7,-6.40%,-7.91%,-7.67%,-5.63%,3.32%,4.54%,--,$0.00M,$0.00M,$0.00M,$0.00M,-$124.47M
ESGN,0.45%,Equity: Developed Markets Ex-U.S. - Total Market,"Columbia Management Investment Advisers, LLC",Columbia Sustainable International Equity Income ETF,5,-0.51%,-0.22%,-0.79%,6.10%,5.24%,4.82%,--,$0.00M,$0.00M,$0.00M,-$0.00M,$0.06M
DFIV,0.35%,Equity: Developed Markets Ex-U.S. - Total Market Value,Dimensional Fund Advisors LP,Dimensional International Value ETF,3740,--,--,--,--,--,--,--,$74.03M,$74.03M,$74.03M,$74.03M,$74.03M
IVLU,0.30%,Equity: Developed Markets Ex-U.S. - Total Market Value,Blackrock,iShares MSCI Intl Value Factor ETF,1270,1.93%,2.10%,0.95%,13.18%,6.57%,5.31%,--,$76.81M,$84.47M,$136.51M,$619.19M,$882.52M
IVAL,0.59%,Equity: Developed Markets Ex-U.S. - Total Market Value,Alpha Architect,Alpha Architect International Quantitative Value ETF,134,-1.65%,-1.42%,-3.91%,-4.67%,0.54%,1.86%,--,$0.00M,$0.00M,$5.73M,$28.82M,$55.98M
FIVA,0.39%,Equity: Developed Markets Ex-U.S. - Total Market Value,Fidelity,Fidelity International Value Factor ETF,39,-0.94%,-0.19%,-0.73%,10.09%,8.21%,--,--,-$2.49M,-$2.49M,-$2.49M,$16.92M,$22.36M
DMDV,0.39%,Equity: Developed Markets Ex-U.S. - Total Market Value,Advisors Asset Management,AAM S&P Developed Markets High Dividend Value ETF,2,1.81%,2.06%,-1.05%,7.09%,2.40%,--,--,$0.00M,$0.00M,$0.00M,$0.01M,-$0.06M
AVIV,0.25%,Equity: Developed Markets Ex-U.S. Large Cap Value,American Century Investments,Avantis International Large Cap Value ETF,23,-0.19%,0.40%,-1.78%,--,--,--,--,$7.75M,$12.26M,$13.73M,$21.31M,$21.31M
LCTD,0.20%,Equity: Developed Markets Ex-U.S. Low Carbon,Blackrock,BlackRock World ex U.S. Carbon Transition Readiness ETF,556,-4.68%,-4.26%,-5.33%,--,--,--,--,$0.00M,$0.00M,$0.00M,$561.78M,$561.78M
IFGL,0.48%,Equity: Developed Markets Ex-U.S. Real Estate,Blackrock,iShares International Developed Real Estate ETF,234,-4.74%,-2.69%,-6.47%,3.76%,2.30%,4.94%,5.36%,-$25.32M,-$28.12M,-$27.91M,-$16.46M,-$247.29M
WPS,0.48%,Equity: Developed Markets Ex-U.S. Real Estate,Blackrock,iShares International Developed Property ETF,64,-4.74%,-2.91%,-5.91%,4.58%,3.21%,5.34%,6.37%,$0.00M,$0.00M,-$7.22M,-$18.96M,-$67.33M
FINX,0.68%,Equity: Developed Markets FinTech,"Mirae Asset Global Investments Co., Ltd.",Global X FinTech ETF,869,-20.31%,-21.30%,-35.85%,-28.04%,9.41%,16.96%,--,-$46.40M,-$57.40M,-$4.00M,$178.68M,$642.14M
WDNA,0.45%,Equity: Developed Markets Genomic Advancements,WisdomTree,WisdomTree BioRevolution Fund,4,-17.77%,-19.47%,-23.41%,--,--,--,--,$0.00M,$0.00M,$1.84M,$3.16M,$3.16M
HOTL,0.78%,"Equity: Developed Markets Hotels, Resorts & Cruise Lines",Kellner Capital,Kelly Hotel & Lodging Sector ETF,1,--,--,--,--,--,--,--,$1.52M,$1.52M,$1.52M,$1.52M,$1.52M
RESI,0.68%,Equity: Developed Markets Housing,Kellner Capital,Kelly Residential & Apartment Real Estate ETF,1,--,--,--,--,--,--,--,--,--,--,--,--
SNSR,0.68%,Equity: Developed Markets Internet,"Mirae Asset Global Investments Co., Ltd.",Global X Internet of Things ETF,466,-13.80%,-13.43%,-9.06%,0.53%,24.18%,15.79%,--,$1.15M,$1.42M,$24.32M,$89.57M,$273.99M
ECLN,0.97%,Equity: Developed Markets Low Carbon,First Trust,First Trust EIP Carbon Impact ETF,20,-5.58%,-3.91%,-3.51%,2.16%,--,--,--,$0.00M,$0.00M,$0.00M,$15.11M,$17.37M
BSEA,0.75%,Equity: Developed Markets Low Carbon,ETFMG,ETFMG Breakwave Sea Decarbonization Tech ETF,2,-15.28%,-15.62%,-22.80%,--,--,--,--,$0.00M,$0.00M,-$0.62M,$2.54M,$2.54M
GRES,0.30%,Equity: Developed Markets Natural Resources,New York Life,IQ Global Resources ETF,31,3.34%,4.23%,2.17%,19.48%,9.62%,6.45%,2.58%,$0.00M,$0.00M,$1.52M,$6.16M,-$146.50M
FFR,0.60%,Equity: Developed Markets Real Estate,First Trust,First Trust FTSE EPRA/NAREIT Developed Markets Real Estate Index Fund,35,-8.30%,-5.54%,-4.56%,15.86%,6.40%,6.08%,7.05%,-$2.57M,-$2.57M,$0.09M,$0.09M,$0.09M
RITA,0.50%,Equity: Developed Markets REITs,Exchange Traded Concepts,ETFB Green SRI REITs ETF,14,-10.01%,-7.34%,--,--,--,--,--,$0.00M,$1.30M,$14.60M,$14.60M,$14.60M
BOTZ,0.68%,Equity: Developed Markets Robotics & AI,"Mirae Asset Global Investments Co., Ltd.",Global X Robotics & Artificial Intelligence ETF,2100,-20.01%,-20.86%,-22.76%,-18.76%,16.29%,12.51%,--,-$51.68M,-$51.04M,-$35.70M,-$21.72M,$118.90M
AIQ,0.68%,Equity: Developed Markets Robotics & AI,"Mirae Asset Global Investments Co., Ltd.",Global X Artificial Intelligence & Technology ETF,162,-14.37%,-14.60%,-14.01%,-4.94%,24.33%,--,--,$0.01M,$0.03M,$11.65M,$7.67M,$88.32M
EBLU,0.40%,Equity: Developed Markets Water,Tortoise,Ecofin Global Water ESG Fund,60,-12.63%,-10.70%,-6.24%,9.05%,19.08%,--,--,-$0.18M,-$0.18M,$7.17M,$31.22M,$49.49M
EGPT,0.96%,Equity: Egypt - Total Market,VanEck,VanEck Egypt Index ETF,21,-5.61%,-4.88%,2.91%,-2.87%,-1.28%,1.02%,-3.45%,$0.00M,$0.00M,-$1.31M,$0.80M,-$8.30M
EEMA,0.50%,Equity: Emerging Asia-Pacific - Total Market,Blackrock,iShares MSCI Emerging Markets Asia ETF,804,-3.68%,-3.63%,-7.70%,-15.70%,8.77%,9.01%,--,$0.00M,$0.00M,-$0.44M,$108.84M,$271.03M
GMF,0.49%,Equity: Emerging Asia-Pacific - Total Market,State Street Global Advisors,SPDR S&P Emerging Asia Pacific ETF,539,-3.04%,-2.39%,-6.25%,-12.86%,10.30%,10.18%,7.17%,$0.00M,$0.00M,-$37.00M,-$135.99M,-$36.00M
FNI,0.60%,Equity: Emerging Asia-Pacific - Total Market,First Trust,First Trust Chindia ETF,98,-9.31%,-7.59%,-22.20%,-34.77%,9.02%,8.57%,8.45%,-$2.38M,-$2.38M,-$12.81M,-$133.46M,-$101.64M
DEM,0.63%,Equity: Emerging Markets - High Dividend Yield,WisdomTree,WisdomTree Emerging Markets High Dividend Fund,1930,2.84%,3.40%,1.75%,11.59%,6.28%,7.48%,2.26%,$17.73M,$17.73M,-$17.10M,$49.35M,-$147.39M
DVYE,0.49%,Equity: Emerging Markets - High Dividend Yield,Blackrock,iShares Emerging Markets Dividend ETF,814,-2.26%,-1.49%,-3.73%,6.71%,3.68%,6.32%,--,$0.00M,$0.00M,$24.64M,$74.82M,$277.26M
EDIV,0.49%,Equity: Emerging Markets - High Dividend Yield,State Street Global Advisors,SPDR S&P Emerging Markets Dividend ETF,303,2.12%,1.40%,2.25%,9.46%,2.06%,4.97%,-0.82%,$0.00M,$0.00M,-$1.49M,-$12.37M,-$188.41M
SDEM,0.67%,Equity: Emerging Markets - High Dividend Yield,"Mirae Asset Global Investments Co., Ltd.",Global X MSCI SuperDividend Emerging Markets ETF,81,-0.82%,-1.59%,-2.88%,-0.17%,-1.40%,-1.05%,--,$4.00M,$5.72M,$20.44M,$59.29M,$70.71M
FNDE,0.39%,Equity: Emerging Markets - Large Cap,Charles Schwab,Schwab Fundamental Emerging Markets Large Company Index ETF,5020,0.84%,1.09%,-2.26%,10.89%,7.31%,7.11%,--,$52.91M,$68.28M,$156.45M,"$1,013.25M","$2,250.33M"
ADRE,0.30%,Equity: Emerging Markets - Large Cap,Invesco,Invesco BLDRS Emerging Markets 50 ADR Index Fund,171,-1.20%,-0.09%,-9.93%,-24.90%,6.77%,6.91%,2.73%,$2.29M,$2.29M,-$4.94M,$22.32M,$30.81M
BKEM,0.11%,Equity: Emerging Markets - Large Cap,BNY Mellon,BNY Mellon Emerging Markets Equity ETF,37,-1.89%,-2.27%,-6.51%,-15.19%,--,--,--,$0.00M,$0.00M,$0.00M,$0.07M,$2.67M
ISEM,0.35%,Equity: Emerging Markets - Large Cap,Invesco,Invesco RAFI Strategic Emerging Markets ETF,30,1.06%,0.96%,-4.22%,2.57%,6.79%,--,--,$2.77M,$2.77M,$2.77M,$5.91M,$26.31M
EDOG,0.60%,Equity: Emerging Markets - Large Cap,SS&C,ALPS Emerging Sector Dividend Dogs ETF,25,-1.97%,-2.14%,-4.21%,8.17%,6.60%,5.22%,--,$0.00M,$0.00M,$0.00M,$1.28M,-$7.13M
CEY,0.50%,Equity: Emerging Markets - Large Cap,Victory Capital,VictoryShares Emerging Market High Div Volatility Wtd ETF,16,0.28%,0.77%,-3.31%,9.75%,3.14%,--,--,$0.00M,$0.00M,$0.00M,-$1.33M,-$3.33M
DGS,0.58%,Equity: Emerging Markets - Small Cap,WisdomTree,WisdomTree Emerging Markets SmallCap Dividend Fund,2380,-2.48%,-1.65%,-1.39%,10.22%,8.74%,8.49%,4.99%,$58.52M,$90.05M,$158.45M,$460.48M,$855.12M
EWX,0.65%,Equity: Emerging Markets - Small Cap,State Street Global Advisors,SPDR S&P Emerging Markets Small Cap ETF,663,-5.02%,-3.49%,-3.52%,9.96%,11.99%,8.75%,5.62%,$29.32M,$29.32M,$41.05M,$32.66M,$28.01M
EEMS,0.71%,Equity: Emerging Markets - Small Cap,Blackrock,iShares MSCI Emerging Markets Small-Cap ETF,384,-5.35%,-4.03%,-4.99%,7.01%,12.23%,9.15%,5.14%,$5.94M,$11.87M,$11.87M,$111.69M,$50.59M
FEMS,0.80%,Equity: Emerging Markets - Small Cap,First Trust,First Trust Emerging Markets Small Cap AlphaDEX Fund,140,-2.26%,-2.10%,-4.29%,-1.99%,9.44%,8.34%,--,$0.00M,$0.00M,$0.00M,-$5.41M,-$25.05M
VWO,0.10%,Equity: Emerging Markets - Total Market,Vanguard,Vanguard FTSE Emerging Markets ETF,81120,-1.98%,-1.42%,-5.14%,-7.74%,8.66%,7.84%,4.11%,$657.60M,"$1,796.59M","$3,616.76M","$11,470.48M","$12,095.23M"
IEMG,0.11%,Equity: Emerging Markets - Total Market,Blackrock,iShares Core MSCI Emerging Markets ETF,75520,-2.94%,-2.43%,-6.62%,-10.49%,7.60%,7.96%,--,$183.41M,$183.41M,$681.78M,"$8,246.50M","$13,207.24M"
EEM,0.70%,Equity: Emerging Markets - Total Market,Blackrock,iShares MSCI Emerging Markets ETF,28590,-2.54%,-2.23%,-7.13%,-13.08%,6.34%,7.15%,3.37%,$0.00M,$0.00M,$131.26M,"$2,423.53M","-$5,931.23M"
SCHE,0.11%,Equity: Emerging Markets - Total Market,Charles Schwab,Schwab Emerging Markets Equity ETF,9390,-1.52%,-0.94%,-5.53%,-9.39%,7.78%,7.69%,4.11%,$120.38M,$167.44M,$414.88M,"$1,230.88M","$3,167.18M"
ESGE,0.25%,Equity: Emerging Markets - Total Market,Blackrock,iShares ESG Aware MSCI EM ETF,6160,-1.94%,-1.34%,-6.94%,-12.05%,7.83%,8.38%,--,$0.00M,$0.00M,-$276.59M,$18.92M,"$5,051.86M"
SPEM,0.11%,Equity: Emerging Markets - Total Market,State Street Global Advisors,SPDR Portfolio Emerging Markets ETF,5830,-1.83%,-1.16%,-5.09%,-7.05%,8.04%,8.22%,4.48%,$322.35M,$363.50M,$363.50M,$544.80M,"$2,921.53M"
EEMV,0.25%,Equity: Emerging Markets - Total Market,Blackrock,iShares MSCI Emerging Markets Min Vol Factor ETF,3730,-2.01%,-1.08%,-1.96%,-1.13%,4.23%,6.43%,3.95%,$0.00M,$0.00M,-$8.36M,-$414.48M,"-$1,861.04M"
XSOE,0.32%,Equity: Emerging Markets - Total Market,WisdomTree,WisdomTree Emerging Markets ex-State-Owned Enterprises Fund,3690,-4.50%,-4.06%,-8.97%,-17.62%,10.07%,10.49%,--,$0.00M,-$40.54M,-$245.50M,$367.97M,"$3,258.31M"
EMXC,0.25%,Equity: Emerging Markets - Total Market,Blackrock,iShares MSCI Emerging Markets ex China ETF,2320,-2.56%,-1.87%,-3.38%,0.88%,8.87%,--,--,$245.20M,$275.45M,$736.91M,"$2,175.01M","$2,324.93M"
PXH,0.50%,Equity: Emerging Markets - Total Market,Invesco,Invesco FTSE RAFI Emerging Markets ETF,1400,0.82%,1.33%,-1.73%,4.20%,4.94%,5.96%,2.85%,$0.00M,$5.43M,$31.54M,$134.11M,$125.48M
GEM,0.45%,Equity: Emerging Markets - Total Market,Goldman Sachs,Goldman Sachs ActiveBeta Emerging Markets Equity ETF,1300,-3.30%,-3.27%,-5.62%,-10.24%,5.73%,6.86%,--,$0.00M,$0.00M,-$10.85M,-$499.15M,-$599.92M
AVEM,0.33%,Equity: Emerging Markets - Total Market,American Century Investments,Avantis Emerging Markets Equity ETF,1030,-2.98%,-2.31%,-5.02%,-5.19%,--,--,--,$63.03M,$66.16M,$178.04M,$616.64M,$957.55M
EMGF,0.45%,Equity: Emerging Markets - Total Market,Blackrock,iShares MSCI Emerging Markets Multifactor ETF,887,-2.56%,-2.26%,-3.32%,-3.75%,8.49%,8.01%,--,$25.42M,$25.42M,$179.75M,$211.33M,$522.31M
JHEM,0.49%,Equity: Emerging Markets - Total Market,John Hancock,John Hancock Multifactor Emerging Markets ETF,694,-2.18%,-1.83%,-4.87%,-6.59%,6.64%,--,--,$0.00M,$2.88M,$11.89M,-$5.70M,$290.39M
DFAE,0.35%,Equity: Emerging Markets - Total Market,Dimensional Fund Advisors LP,Dimensional Emerging Core Equity Market ETF,638,-2.27%,-1.73%,-4.18%,-6.13%,--,--,--,$49.78M,$109.37M,$248.89M,$558.44M,$594.53M
FEM,0.80%,Equity: Emerging Markets - Total Market,First Trust,First Trust Emerging Markets AlphaDEX Fund,424,-2.03%,-2.33%,-3.24%,-0.98%,4.82%,6.44%,3.40%,-$5.24M,-$5.24M,-$30.82M,-$61.76M,-$76.92M
EELV,0.30%,Equity: Emerging Markets - Total Market,Invesco,Invesco S&P Emerging Markets Low Volatility ETF,368,0.16%,0.89%,0.16%,14.40%,4.79%,6.72%,2.74%,-$2.48M,-$0.03M,$25.00M,$57.80M,$62.75M
JEMA,0.39%,Equity: Emerging Markets - Total Market,JPMorgan Chase,JPMorgan ActiveBuilders Emerging Markets Equity ETF,342,-4.06%,-3.73%,-7.40%,--,--,--,--,$18.32M,$18.32M,$37.40M,$349.77M,$349.77M
TLTE,0.59%,Equity: Emerging Markets - Total Market,Northern Trust,FlexShares Morningstar Emerging Markets Factor Tilt Index Fund,320,-2.67%,-2.17%,-6.14%,-3.23%,6.49%,6.25%,--,$0.00M,$0.00M,$0.00M,$50.01M,-$177.17M
UEVM,0.45%,Equity: Emerging Markets - Total Market,Victory Capital,VictoryShares USAA MSCI Emerging Markets Value Momentum ETF,236,-3.02%,-3.02%,-3.06%,1.82%,5.04%,--,--,$0.00M,$0.00M,$0.00M,-$60.65M,$32.73M
PIE,0.90%,Equity: Emerging Markets - Total Market,Invesco,Invesco DWA Emerging Markets Momentum ETF,209,-7.98%,-7.16%,-3.53%,-2.56%,14.92%,10.82%,4.86%,$6.24M,$6.22M,$1.19M,$3.50M,-$19.11M
HEEM,1.46%,Equity: Emerging Markets - Total Market,Blackrock,iShares Currency Hedged MSCI Emerging Markets ETF,184,-2.46%,-2.22%,-6.33%,-11.92%,7.49%,7.63%,--,-$17.29M,-$15.52M,$2.27M,-$6.39M,-$114.22M
JPEM,0.44%,Equity: Emerging Markets - Total Market,JPMorgan Chase,JPMorgan Diversified Return Emerging Markets Equity ETF,175,-1.02%,-0.89%,-2.29%,4.06%,5.17%,6.08%,--,$0.00M,$0.00M,$22.93M,-$74.77M,-$92.11M
NUEM,0.35%,Equity: Emerging Markets - Total Market,Nuveen Securities,Nuveen ESG Emerging Markets Equity ETF,147,-1.31%,-1.16%,-7.18%,-11.48%,9.55%,--,--,$12.77M,$12.77M,$32.24M,$81.36M,$101.38M
EEMX,0.30%,Equity: Emerging Markets - Total Market,State Street Global Advisors,SPDR MSCI Emerging Markets Fossil Fuel Reserves Free ETF,137,-2.24%,-1.77%,-6.28%,-13.25%,7.41%,8.16%,--,$0.00M,$0.00M,-$29.20M,$11.44M,$87.94M
BKF,0.70%,Equity: Emerging Markets - Total Market,Blackrock,iShares MSCI BRIC ETF,126,-2.59%,-2.16%,-10.66%,-21.45%,4.31%,6.86%,2.77%,$0.00M,$0.00M,-$10.04M,-$30.01M,-$89.11M
FRDM,0.49%,Equity: Emerging Markets - Total Market,Alpha Architect,Freedom 100 Emerging Market ETF,116,-0.66%,0.19%,-1.00%,-0.70%,--,--,--,$8.32M,$8.32M,$11.67M,$82.49M,$110.50M
DBEM,0.66%,Equity: Emerging Markets - Total Market,DWS,Xtrackers MSCI Emerging Markets Hedged Equity ETF,111,-2.65%,-2.38%,-6.71%,-12.06%,7.22%,6.95%,3.01%,$0.00M,$0.00M,$0.00M,$6.98M,-$29.05M
EJAN,0.89%,Equity: Emerging Markets - Total Market,Innovator,Innovator Emerging Markets Power Buffer ETF - January,100,-1.83%,-1.73%,-4.19%,-4.20%,--,--,--,-$11.91M,-$4.48M,-$0.70M,$23.12M,$100.24M
EYLD,0.65%,Equity: Emerging Markets - Total Market,Cambria,Cambria Emerging Shareholder Yield ETF,92,-2.56%,-2.57%,-1.39%,3.97%,11.14%,10.03%,--,$9.06M,$9.06M,$9.06M,$45.96M,$69.69M
DGRE,0.32%,Equity: Emerging Markets - Total Market,WisdomTree,WisdomTree Emerging Markets Quality Dividend Growth Fund,91,-4.23%,-3.85%,-3.81%,-8.23%,7.11%,6.85%,--,$0.00M,$0.00M,$0.00M,-$14.83M,$11.58M
MFEM,0.49%,Equity: Emerging Markets - Total Market,PIMCO,PIMCO RAFI Dynamic Multi-Factor Emerging Markets Equity ETF,88,-3.76%,-3.81%,-5.58%,-1.55%,8.76%,--,--,-$23.06M,-$23.06M,-$8.50M,-$556.31M,-$438.59M
QEMM,0.30%,Equity: Emerging Markets - Total Market,State Street Global Advisors,SPDR MSCI Emerging Markets StrategicFactors ETF,80,-2.47%,-1.95%,-2.62%,-2.37%,7.03%,7.20%,--,$0.00M,$0.00M,$0.00M,-$68.14M,-$197.13M
LDEM,0.16%,Equity: Emerging Markets - Total Market,Blackrock,iShares ESG MSCI EM Leaders ETF,75,-1.65%,-2.79%,-9.49%,-11.51%,--,--,--,$0.00M,-$326.42M,-$737.55M,-$702.02M,-$20.30M
XCEM,0.16%,Equity: Emerging Markets - Total Market,"Columbia Management Investment Advisers, LLC",Columbia EM Core ex-China ETF,73,-2.17%,-1.47%,-4.16%,0.41%,8.75%,8.95%,--,$14.75M,$21.08M,$22.69M,$47.27M,$60.42M
RFEM,0.95%,Equity: Emerging Markets - Total Market,First Trust,First Trust RiverFront Dynamic Emerging Markets ETF,47,-2.89%,-2.84%,-3.52%,-9.48%,5.61%,5.62%,--,$0.00M,$0.00M,$0.00M,-$3.61M,-$57.79M
ROAM,0.44%,Equity: Emerging Markets - Total Market,The Hartford,Hartford Multifactor Emerging Markets ETF,41,-2.01%,-1.78%,-3.19%,1.94%,3.42%,4.82%,--,$0.00M,$0.00M,$0.00M,-$7.26M,-$15.76M
EJUL,0.90%,Equity: Emerging Markets - Total Market,Innovator,Innovator Emerging Markets Power Buffer ETF - July,37,-0.84%,-0.77%,-2.82%,-3.82%,--,--,--,-$3.24M,-$5.17M,-$3.90M,$13.06M,$40.39M
EAPR,0.89%,Equity: Emerging Markets - Total Market,Innovator,Innovator Emerging Markets Power Buffer ETF - April,35,-0.81%,-0.68%,-3.17%,--,--,--,--,$0.61M,$0.61M,$1.86M,$35.93M,$35.93M
GSEE,0.36%,Equity: Emerging Markets - Total Market,Goldman Sachs,Goldman Sachs MarketBeta Emerging Markets Equity ETF,32,-2.21%,-1.90%,-6.19%,-11.99%,--,--,--,$0.00M,$0.00M,$0.00M,-$8.32M,-$17.07M
RAYE,0.80%,Equity: Emerging Markets - Total Market,Rayliant Investment Research,Rayliant Quantamental Emerging Market Equity ETF,32,-3.86%,-3.53%,--,--,--,--,--,$30.21M,$30.21M,$30.21M,$30.21M,$30.21M
EMXF,0.16%,Equity: Emerging Markets - Total Market,Blackrock,iShares ESG Advanced MSCI EM ETF,30,-2.37%,-1.70%,-4.96%,-5.68%,--,--,--,$0.00M,$8.56M,$8.56M,$17.68M,$17.68M
REMG,0.16%,Equity: Emerging Markets - Total Market,State Street Global Advisors,SPDR Bloomberg SASB Emerging Markets ESG Select ETF,29,--,--,--,--,--,--,--,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
RESE,0.32%,Equity: Emerging Markets - Total Market,WisdomTree,WisdomTree Emerging Markets ESG Fund,28,-3.44%,-3.06%,-4.69%,-9.62%,6.38%,6.79%,--,$0.00M,$0.00M,-$3.59M,-$7.42M,-$8.01M
KEMX,0.25%,Equity: Emerging Markets - Total Market,CICC,KraneShares MSCI Emerging Markets ex China Index ETF,27,-2.63%,-2.01%,-2.59%,1.74%,--,--,--,$0.00M,-$0.00M,$3.18M,$24.73M,$24.73M
EMSG,0.20%,Equity: Emerging Markets - Total Market,DWS,Xtrackers MSCI Emerging Markets ESG Leaders Equity ETF,25,-2.37%,-1.36%,-7.93%,-14.07%,8.15%,--,--,$0.00M,$0.00M,$1.65M,$14.97M,$16.56M
BICK,0.64%,Equity: Emerging Markets - Total Market,First Trust,First Trust BICK Index Fund,23,-6.71%,-5.88%,-14.42%,-24.58%,4.53%,6.07%,2.61%,$0.00M,$0.00M,-$1.67M,-$52.10M,-$115.01M
EMFM,0.70%,Equity: Emerging Markets - Total Market,"Mirae Asset Global Investments Co., Ltd.",Global X MSCI Next Emerging & Frontier ETF,21,0.54%,0.50%,-1.96%,8.54%,2.14%,3.60%,--,$0.00M,$0.00M,$0.01M,$3.50M,$8.07M
FLQE,0.45%,Equity: Emerging Markets - Total Market,Franklin Templeton,Franklin LibertyQ Emerging Markets ETF,21,-1.62%,-1.31%,-2.11%,0.95%,4.56%,5.23%,--,$0.00M,-$3.04M,-$3.04M,-$3.04M,-$241.13M
FDEM,0.45%,Equity: Emerging Markets - Total Market,Fidelity,Fidelity Emerging Markets Multifactor ETF,20,-0.43%,0.02%,-3.16%,-8.48%,--,--,--,$0.00M,$0.00M,$0.00M,$5.55M,$11.01M
EMDV,0.61%,Equity: Emerging Markets - Total Market,ProShares,ProShares MSCI Emerging Markets Dividend Growers ETF,20,-0.63%,0.45%,-2.85%,-2.54%,1.49%,4.44%,--,$0.00M,$0.00M,-$1.11M,-$1.11M,-$0.22M
PBEE,0.16%,Equity: Emerging Markets - Total Market,Invesco,Invesco PureBeta FTSE Emerging Markets ETF,17,-0.35%,-0.89%,-5.15%,-8.71%,7.82%,--,--,$0.00M,$5.48M,$5.48M,$14.25M,$14.25M
QLVE,0.40%,Equity: Emerging Markets - Total Market,Northern Trust,FlexShares Emerging Markets Quality Low Volatility Index Fund,16,-0.08%,0.42%,-1.43%,-5.03%,--,--,--,$0.00M,$0.00M,$0.00M,$2.75M,$10.09M
ECOW,0.70%,Equity: Emerging Markets - Total Market,Pacer Advisors,Pacer Emerging Markets Cash Cows 100 ETF,10,-1.63%,-2.02%,-0.69%,1.23%,--,--,--,$1.24M,$1.24M,$1.24M,$7.95M,$10.04M
BKES,0.11%,Equity: Emerging Markets - Total Market,BNY Mellon,BNY Mellon Sustainable Global Emerging Markets ETF - United States,9,--,--,--,--,--,--,--,$0.00M,$0.00M,$0.00M,$0.00M,$0.00M
EOCT,0.89%,Equity: Emerging Markets - Total Market,Innovator,Innovator Emerging Markets Power Buffer ETF,7,-1.07%,-1.08%,-3.29%,--,--,--,--,$0.00M,$0.62M,$3.14M,$7.52M,$7.52M
RNEM,0.75%,Equity: Emerging Markets - Total Market,First Trust,First Trust Emerging Markets Equity Select ETF,7,1.98%,3.24%,0.03%,5.58%,1.55%,--,--,$0.00M,$0.00M,$0.00M,$0.00M,$0.65M
