,expense,segment,aum,name_x,ticker,issuer,return_5y,return_10y,return_3y,return_1m,name_y,return_1y,return_3m,return_ytd,name,flow_1y,flow_3m,flow_ytd,flow_1m,flow_3y
324,0.48%,Equity: U.S. Real Estate,$1.29B,iShares Residential and Multisector Real Estate ETF,REZ,Blackrock,11.80%,11.10%,14.37%,-3.75%,iShares Residential and Multisector Real Estate ETF,36.48%,1.49%,-6.86%,iShares Residential and Multisector Real Estate ETF,$693.03M,$132.26M,$184.57M,$199.03M,$784.18M
325,0.25%,Equity: U.S. - Mid Cap,$1.28B,Invesco S&P MidCap Low Volatility ETF,XMLV,Invesco,7.70%,--,7.05%,-4.53%,Invesco S&P MidCap Low Volatility ETF,10.06%,-1.77%,-6.89%,Invesco S&P MidCap Low Volatility ETF,-$617.98M,-$127.79M,-$15.82M,-$22.76M,-$778.73M
326,0.25%,Equity: U.S. - Large Cap Value,$1.27B,Nuveen ESG Large-Cap Value ETF,NULV,Nuveen Securities,11.10%,--,12.82%,-2.56%,Nuveen ESG Large-Cap Value ETF,16.52%,-1.33%,-4.17%,Nuveen ESG Large-Cap Value ETF,$506.40M,$170.98M,$55.89M,$75.14M,"$1,056.39M"
327,0.20%,Equity: U.S. - Large Cap,$1.27B,SPDR S&P 500 Fossil Fuel Reserves Free ETF,SPYX,State Street Global Advisors,16.02%,--,20.04%,-8.39%,SPDR S&P 500 Fossil Fuel Reserves Free ETF,13.73%,-4.73%,-9.20%,SPDR S&P 500 Fossil Fuel Reserves Free ETF,$209.82M,$88.59M,-$2.74M,$7.89M,$623.82M
328,0.15%,Equity: U.S. - Small Cap Value,$1.26B,Vanguard S&P Small-Cap 600 Value ETF,VIOV,Vanguard,9.18%,12.02%,13.23%,-3.09%,Vanguard S&P Small-Cap 600 Value ETF,14.38%,-4.58%,-3.78%,Vanguard S&P Small-Cap 600 Value ETF,$311.38M,$1.11M,-$0.03M,-$4.55M,$602.85M
329,0.24%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",$1.23B,iShares Interest Rate Hedged Corporate Bond ETF,LQDH,Blackrock,2.99%,--,2.97%,-1.13%,iShares Interest Rate Hedged Corporate Bond ETF,0.85%,-1.43%,-1.22%,iShares Interest Rate Hedged Corporate Bond ETF,$788.08M,$553.92M,$166.86M,$185.99M,$945.54M
330,0.25%,Equity: U.S. - Large Cap,$1.23B,Invesco S&P 500 High Beta ETF,SPHB,Invesco,15.80%,14.68%,24.74%,-7.31%,Invesco S&P 500 High Beta ETF,23.49%,-7.18%,-7.87%,Invesco S&P 500 High Beta ETF,$399.51M,-$198.93M,-$152.52M,-$179.54M,$730.75M
331,0.40%,"Fixed Income: U.S. - Broad Market, Broad-based Intermediate",$1.23B,VictoryShares USAA Core Intermediate-Term Bond ETF,UITB,Victory Capital,--,--,5.92%,-1.77%,VictoryShares USAA Core Intermediate-Term Bond ETF,-1.31%,-1.41%,-1.83%,VictoryShares USAA Core Intermediate-Term Bond ETF,$591.09M,$143.29M,$44.45M,$44.45M,"$1,052.38M"
332,0.48%,Equity: U.S. Mortgage REITs,$1.22B,iShares Mortgage Real Estate ETF,REM,Blackrock,6.90%,5.75%,0.08%,-3.98%,iShares Mortgage Real Estate ETF,9.72%,-9.89%,-3.51%,iShares Mortgage Real Estate ETF,-$184.14M,-$130.78M,-$20.42M,-$41.28M,$267.26M
333,0.40%,Equity: U.S. - Large Cap,$1.21B,ALPS Sector Dividend Dogs ETF,SDOG,SS&C,8.56%,--,13.18%,2.75%,ALPS Sector Dividend Dogs ETF,21.53%,2.83%,0.99%,ALPS Sector Dividend Dogs ETF,-$13.62M,-$10.22M,$4.19M,$4.19M,-$943.77M
334,0.95%,Leveraged Equity: U.S. Big Tech,$1.21B,MicroSectors FANG+ Index 3X Leveraged ETN,FNGU,BMO,--,--,86.77%,-38.37%,MicroSectors FANG+ Index 3X Leveraged ETN,-32.25%,-46.04%,-37.73%,MicroSectors FANG+ Index 3X Leveraged ETN,$213.31M,$0.00M,$0.00M,$0.00M,$465.05M
335,0.55%,"Equity: U.S. Hotels, Restaurants & Leisure",$1.21B,Invesco Dynamic Leisure and Entertainment ETF,PEJ,Invesco,2.77%,9.45%,3.23%,-6.73%,Invesco Dynamic Leisure and Entertainment ETF,6.09%,-11.12%,-6.84%,Invesco Dynamic Leisure and Entertainment ETF,$272.41M,-$82.54M,-$16.50M,-$17.98M,$865.21M
336,0.58%,Equity: U.S. - Large Cap,$1.21B,First Trust Nasdaq-100 Equal Weighted Index Fund,QQEW,First Trust,16.16%,15.24%,20.19%,-12.03%,First Trust Nasdaq-100 Equal Weighted Index Fund,-0.62%,-11.43%,-12.53%,First Trust Nasdaq-100 Equal Weighted Index Fund,-$24.27M,-$8.91M,-$11.28M,-$11.28M,$230.08M
337,0.08%,Equity: U.S. Energy,$1.21B,Fidelity MSCI Energy Index ETF,FENY,Fidelity,0.71%,--,6.15%,17.35%,Fidelity MSCI Energy Index ETF,63.47%,9.64%,16.27%,Fidelity MSCI Energy Index ETF,$132.57M,$31.29M,$38.39M,$25.38M,$460.87M
338,0.42%,Equity: U.S. Health Care Providers & Services,$1.20B,iShares U.S. Healthcare Providers ETF,IHF,Blackrock,16.27%,16.39%,14.54%,-8.97%,iShares U.S. Healthcare Providers ETF,5.80%,-4.53%,-9.87%,iShares U.S. Healthcare Providers ETF,-$33.91M,$13.89M,$13.89M,$13.89M,-$48.90M
339,0.60%,Equity: U.S. - Large Cap Value,$1.20B,First Trust Large Cap Value AlphaDEX Fund,FTA,First Trust,7.78%,9.46%,11.91%,0.45%,First Trust Large Cap Value AlphaDEX Fund,21.60%,1.43%,-1.35%,First Trust Large Cap Value AlphaDEX Fund,$234.92M,$82.87M,$42.08M,$49.01M,-$109.77M
340,0.20%,Equity: U.S. - Large Cap Value,$1.20B,iShares Russell Top 200 Value ETF,IWX,Blackrock,10.02%,11.68%,13.40%,-1.59%,iShares Russell Top 200 Value ETF,17.76%,-0.79%,-2.71%,iShares Russell Top 200 Value ETF,$84.86M,-$11.11M,-$24.86M,-$14.35M,$516.52M
341,0.08%,Equity: U.S. Utilities,$1.18B,Fidelity MSCI Utilities Index ETF,FUTY,Fidelity,9.99%,--,10.62%,-3.68%,Fidelity MSCI Utilities Index ETF,8.16%,0.98%,-6.17%,Fidelity MSCI Utilities Index ETF,$13.43M,$26.75M,$2.05M,$8.97M,$517.59M
342,0.35%,Equity: U.S. - Large Cap,$1.17B,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,CDC,Victory Capital,13.61%,--,20.15%,0.68%,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,27.86%,2.81%,-1.25%,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,$307.51M,$163.16M,$81.65M,$92.06M,$149.87M
343,0.60%,Equity: U.S. Transportation,$1.17B,First Trust Nasdaq Transportation ETF,FTXR,First Trust,7.08%,--,12.24%,-6.67%,First Trust Nasdaq Transportation ETF,5.15%,-4.49%,-7.64%,First Trust Nasdaq Transportation ETF,$252.22M,$56.10M,$23.61M,$23.61M,$945.89M
344,0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",$1.16B,Invesco BulletShares 2025 Corporate Bond ETF,BSCP,Invesco,4.33%,--,5.25%,-1.05%,Invesco BulletShares 2025 Corporate Bond ETF,-1.99%,-1.27%,-1.05%,Invesco BulletShares 2025 Corporate Bond ETF,$285.74M,$91.88M,$19.54M,$52.35M,$983.79M
345,0.06%,Equity: U.S. - Mid Cap Growth,$1.16B,iShares Morningstar Mid-Cap Growth ETF,IMCG,Blackrock,17.60%,14.50%,21.16%,-13.82%,iShares Morningstar Mid-Cap Growth ETF,-5.02%,-15.29%,-14.57%,iShares Morningstar Mid-Cap Growth ETF,-$339.79M,$25.59M,-$66.19M,-$66.19M,-$357.90M
346,0.10%,Equity: U.S. - Total Market,$1.16B,Vanguard Russell 3000 ETF,VTHR,Vanguard,14.95%,14.37%,19.03%,-8.57%,Vanguard Russell 3000 ETF,10.25%,-6.53%,-9.21%,Vanguard Russell 3000 ETF,$135.27M,$66.48M,$5.10M,-$92.54M,$401.75M
347,0.59%,Equity: U.S. - Large Cap,$1.15B,First Trust Large Cap Core AlphaDEX Fund,FEX,First Trust,11.30%,11.55%,15.23%,-6.41%,First Trust Large Cap Core AlphaDEX Fund,12.10%,-5.97%,-7.68%,First Trust Large Cap Core AlphaDEX Fund,-$11.12M,$19.11M,$10.07M,$10.07M,-$548.72M
348,0.15%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",$1.15B,iShares Aaa-A Rated Corporate Bond ETF,QLTA,Blackrock,3.95%,--,4.98%,-2.79%,iShares Aaa-A Rated Corporate Bond ETF,-3.78%,-2.20%,-2.64%,iShares Aaa-A Rated Corporate Bond ETF,-$195.87M,$41.85M,$10.78M,$10.78M,$911.62M
349,0.20%,Equity: U.S. - Total Market,$1.15B,iShares MSCI USA Multifactor ETF,LRGF,Blackrock,11.32%,--,14.57%,-6.70%,iShares MSCI USA Multifactor ETF,10.14%,-4.10%,-8.23%,iShares MSCI USA Multifactor ETF,$158.86M,-$28.69M,-$21.78M,-$21.78M,-$195.00M
350,0.60%,Equity: U.S. Energy,$1.14B,First Trust Nasdaq Oil & Gas ETF,FTXN,First Trust,2.24%,--,8.04%,14.37%,First Trust Nasdaq Oil & Gas ETF,68.05%,2.15%,12.96%,First Trust Nasdaq Oil & Gas ETF,$999.50M,$958.25M,$87.58M,$114.25M,"$1,001.89M"
351,0.39%,Equity: U.S. - Large Cap,$1.14B,Invesco S&P 500 Revenue ETF,RWL,Invesco,13.47%,14.03%,17.53%,-2.50%,Invesco S&P 500 Revenue ETF,20.81%,0.02%,-3.89%,Invesco S&P 500 Revenue ETF,$99.07M,$56.64M,$50.05M,$54.05M,-$202.97M
352,0.07%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",$1.11B,JPMorgan U.S. Aggregate Bond ETF,JAGG,JPMorgan Chase,--,--,3.73%,-1.84%,JPMorgan U.S. Aggregate Bond ETF,-3.28%,-1.49%,-1.91%,JPMorgan U.S. Aggregate Bond ETF,$305.33M,$58.12M,$22.89M,$22.89M,"$1,100.62M"
353,0.60%,Equity: U.S. - Micro Cap,$1.10B,iShares Micro-Cap ETF,IWC,Blackrock,8.92%,11.33%,12.66%,-11.09%,iShares Micro-Cap ETF,-7.62%,-15.32%,-10.58%,iShares Micro-Cap ETF,$74.89M,$16.54M,-$20.12M,-$20.12M,-$70.57M
354,0.25%,Equity: U.S. - Small Cap,$1.10B,Invesco S&P SmallCap Low Volatility ETF,XSLV,Invesco,4.78%,--,4.59%,-4.59%,Invesco S&P SmallCap Low Volatility ETF,14.75%,-0.80%,-6.30%,Invesco S&P SmallCap Low Volatility ETF,-$621.57M,-$112.81M,-$65.66M,-$68.27M,-$267.02M
355,0.12%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",$1.08B,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,AGGY,WisdomTree,3.30%,--,4.02%,-2.44%,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,-3.50%,-1.98%,-2.38%,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,-$40.87M,$5.02M,$5.12M,$5.12M,$691.36M
356,0.30%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",$1.08B,ProShares Investment Grade-Interest Rate Hedged ETF,IGHG,ProShares,2.76%,--,3.30%,-0.89%,ProShares Investment Grade-Interest Rate Hedged ETF,0.39%,-1.96%,-0.79%,ProShares Investment Grade-Interest Rate Hedged ETF,$633.00M,$79.25M,$52.20M,$52.20M,$703.45M
357,0.12%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Short-Term",$1.07B,iShares ESG Aware 1-5 Year USD Corporate Bond ETF,SUSB,Blackrock,--,--,3.15%,-0.90%,iShares ESG Aware 1-5 Year USD Corporate Bond ETF,-1.61%,-1.20%,-0.94%,iShares ESG Aware 1-5 Year USD Corporate Bond ETF,$516.08M,$31.99M,$19.09M,$24.21M,"$1,029.85M"
358,0.40%,"Fixed Income: U.S. - Corporate, Preferred",$1.07B,VanEck Preferred Securities ex Financials ETF,PFXF,VanEck,6.80%,--,9.01%,-4.58%,VanEck Preferred Securities ex Financials ETF,4.91%,-2.90%,-5.58%,VanEck Preferred Securities ex Financials ETF,$242.96M,$52.93M,$29.07M,$36.70M,$506.72M
359,0.60%,Equity: U.S. - Large Cap Growth,$1.07B,First Trust Large Cap Growth AlphaDEX Fund,FTC,First Trust,15.29%,14.20%,18.69%,-14.72%,First Trust Large Cap Growth AlphaDEX Fund,1.14%,-14.52%,-15.32%,First Trust Large Cap Growth AlphaDEX Fund,-$40.77M,-$47.41M,-$46.82M,-$52.79M,-$274.60M
360,0.41%,Equity: U.S. - Mid Cap,$1.05B,ProShares S&P MidCap 400 Dividend Aristocrats ETF,REGL,ProShares,7.33%,--,10.24%,-2.15%,ProShares S&P MidCap 400 Dividend Aristocrats ETF,11.60%,-0.99%,-4.34%,ProShares S&P MidCap 400 Dividend Aristocrats ETF,$89.64M,$18.95M,$13.90M,$13.90M,$365.98M
361,0.46%,Equity: U.S. MLPs,$1.05B,Global X MLP ETF,MLPA,"Mirae Asset Global Investments Co., Ltd.",-3.26%,--,0.02%,13.09%,Global X MLP ETF,42.01%,1.48%,9.41%,Global X MLP ETF,$122.37M,-$55.56M,-$88.46M,-$85.03M,$490.84M
362,0.35%,Equity: U.S. Aerospace & Defense,$1.05B,SPDR S&P Aerospace & Defense ETF,XAR,State Street Global Advisors,12.63%,15.76%,9.82%,-4.73%,SPDR S&P Aerospace & Defense ETF,-5.43%,-9.48%,-4.04%,SPDR S&P Aerospace & Defense ETF,-$180.49M,-$73.79M,-$14.50M,-$17.40M,-$257.71M
363,0.30%,Equity: U.S. - Small Cap,$1.05B,iShares MSCI USA Small-Cap Multifactor ETF,SMLF,Blackrock,9.25%,--,11.87%,-6.61%,iShares MSCI USA Small-Cap Multifactor ETF,6.96%,-6.58%,-7.98%,iShares MSCI USA Small-Cap Multifactor ETF,$206.42M,$34.24M,$5.29M,$16.72M,$619.67M
364,0.30%,Equity: U.S. - Small Cap,$1.04B,Nuveen ESG Small-Cap ETF,NUSC,Nuveen Securities,11.52%,--,15.22%,-7.92%,Nuveen ESG Small-Cap ETF,-0.96%,-10.11%,-8.71%,Nuveen ESG Small-Cap ETF,$519.43M,$127.82M,$30.13M,$36.41M,$885.82M
365,0.15%,Equity: U.S. - Large Cap,$1.03B,Invesco NASDAQ Next Gen 100 ETF,QQQJ,Invesco,--,--,--,-15.14%,Invesco NASDAQ Next Gen 100 ETF,-12.64%,-18.08%,-15.19%,Invesco NASDAQ Next Gen 100 ETF,$370.44M,$1.43M,-$40.05M,-$48.12M,"$1,022.20M"
366,0.53%,Equity: U.S. - High Dividend Yield,$1.03B,Invesco High Yield Equity Dividend Achievers ETF,PEY,Invesco,8.62%,12.89%,13.08%,3.06%,Invesco High Yield Equity Dividend Achievers ETF,23.14%,3.54%,1.39%,Invesco High Yield Equity Dividend Achievers ETF,$131.03M,$29.98M,$24.36M,$24.36M,$167.85M
367,0.20%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",$1.02B,Xtrackers Low Beta High Yield Bond ETF,HYDW,DWS,--,--,4.47%,-2.05%,Xtrackers Low Beta High Yield Bond ETF,0.49%,-1.32%,-1.96%,Xtrackers Low Beta High Yield Bond ETF,$998.16M,$138.03M,$0.00M,$0.00M,$886.24M
368,0.78%,Equity: U.S. - Large Cap,$1.01B,Main Sector Rotation ETF,SECT,Main Management,--,--,17.60%,-7.24%,Main Sector Rotation ETF,12.16%,-3.99%,-8.00%,Main Sector Rotation ETF,$241.40M,$61.70M,$9.11M,$13.61M,$338.66M
369,0.28%,Equity: U.S. - Total Market,$1.01B,WisdomTree U.S. Total Dividend Fund,DTD,WisdomTree,11.61%,12.39%,14.66%,-2.03%,WisdomTree U.S. Total Dividend Fund,18.97%,1.60%,-3.43%,WisdomTree U.S. Total Dividend Fund,$38.32M,$25.68M,-$3.20M,$0.00M,$152.84M
370,0.35%,Equity: U.S. - Large Cap,$1.01B,VictoryShares U.S. 500 Enhanced Volatility Wtd Index ETF,CFO,Victory Capital,12.98%,--,18.49%,-6.05%,VictoryShares U.S. 500 Enhanced Volatility Wtd Index ETF,13.55%,-4.46%,-7.56%,VictoryShares U.S. 500 Enhanced Volatility Wtd Index ETF,$123.61M,$15.36M,$7.78M,$7.78M,-$259.52M
371,0.35%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",$1.00B,Franklin Liberty Investment Grade Corporate ETF,FLCO,Franklin Templeton,4.13%,--,5.74%,-2.96%,Franklin Liberty Investment Grade Corporate ETF,-4.02%,-2.44%,-2.87%,Franklin Liberty Investment Grade Corporate ETF,$18.97M,$25.82M,$6.34M,$6.34M,"$1,007.76M"
372,0.04%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Long-Term",$1.00B,SPDR Portfolio Long Term Corporate Bond ETF,SPLB,State Street Global Advisors,6.51%,5.85%,8.78%,-5.06%,SPDR Portfolio Long Term Corporate Bond ETF,-4.68%,-3.62%,-4.73%,SPDR Portfolio Long Term Corporate Bond ETF,$107.50M,$165.36M,$5.25M,-$13.75M,$503.97M
373,0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",$998.17M,iShares iBonds Dec 2026 Term Corporate ETF,IBDR,Blackrock,4.59%,--,5.93%,-1.42%,iShares iBonds Dec 2026 Term Corporate ETF,-2.86%,-1.66%,-1.50%,iShares iBonds Dec 2026 Term Corporate ETF,$418.89M,$155.94M,$56.70M,$56.70M,$795.41M
374,0.60%,Equity: U.S. - Mid Cap,$985.35M,First Trust Mid Cap Core AlphaDEX Fund,FNX,First Trust,10.56%,10.63%,14.33%,-6.17%,First Trust Mid Cap Core AlphaDEX Fund,8.40%,-8.22%,-7.47%,First Trust Mid Cap Core AlphaDEX Fund,$89.33M,$4.71M,$5.09M,$5.09M,-$79.45M
375,0.15%,Equity: U.S. - Total Market,$979.39M,SPDR MSCI USA StrategicFactors ETF,QUS,State Street Global Advisors,14.82%,--,17.98%,-6.81%,SPDR MSCI USA StrategicFactors ETF,14.75%,-3.84%,-7.89%,SPDR MSCI USA StrategicFactors ETF,$19.59M,$13.37M,-$7.95M,-$7.95M,$536.59M
376,0.32%,"Fixed Income: U.S. - Government, Mortgage-backed Investment Grade",$968.69M,Janus Henderson Mortgage-Backed Securities ETF,JMBS,Janus Henderson,--,--,3.67%,-1.10%,Janus Henderson Mortgage-Backed Securities ETF,-1.92%,-1.30%,-1.10%,Janus Henderson Mortgage-Backed Securities ETF,$326.04M,$138.64M,$109.61M,$109.61M,$930.22M
377,0.73%,Equity: U.S. Cannabis,$966.25M,AdvisorShares Pure US Cannabis ETF,MSOS,AdvisorShares,--,--,--,-16.01%,AdvisorShares Pure US Cannabis ETF,-52.94%,-24.76%,-16.76%,AdvisorShares Pure US Cannabis ETF,"$1,154.98M",$525.93M,$13.61M,$42.90M,"$1,671.41M"
378,0.60%,Equity: U.S. - Large Cap,$965.04M,Global X S&P 500 Covered Call ETF,XYLD,"Mirae Asset Global Investments Co., Ltd.",8.03%,--,9.94%,-4.59%,Global X S&P 500 Covered Call ETF,11.63%,-2.79%,-4.77%,Global X S&P 500 Covered Call ETF,$862.97M,$368.55M,$121.06M,$158.55M,$918.08M
379,0.15%,Equity: U.S. - Large Cap,$956.59M,iShares Russell Top 200 ETF,IWL,Blackrock,16.73%,15.35%,20.98%,-8.23%,iShares Russell Top 200 ETF,13.46%,-4.58%,-8.77%,iShares Russell Top 200 ETF,-$29.60M,$26.65M,$21.43M,$21.43M,$412.41M
380,0.55%,Equity: U.S. - Large Cap,$955.22M,Amplify CWP Enhanced Dividend Income ETF,DIVO,Amplify Investments,13.54%,--,16.22%,-3.68%,Amplify CWP Enhanced Dividend Income ETF,14.87%,-0.69%,-4.79%,Amplify CWP Enhanced Dividend Income ETF,$711.52M,$233.69M,$65.65M,$86.69M,$895.27M
381,0.20%,Asset Allocation: U.S. Target Risk,$950.27M,WisdomTree U.S. Efficient Core Fund,NTSX,WisdomTree,--,--,19.87%,-9.14%,WisdomTree U.S. Efficient Core Fund,8.30%,-6.41%,-9.61%,WisdomTree U.S. Efficient Core Fund,$526.33M,$256.85M,$75.00M,$50.59M,$849.49M
382,0.50%,"Fixed Income: U.S. - Corporate, Broad-based High Yield Intermediate",$943.21M,Invesco Fundamental High Yield Corporate Bond ETF,PHB,Invesco,4.18%,4.65%,5.22%,-2.17%,Invesco Fundamental High Yield Corporate Bond ETF,1.18%,-1.50%,-2.12%,Invesco Fundamental High Yield Corporate Bond ETF,$198.64M,$157.74M,-$24.66M,-$34.38M,$294.91M
383,0.89%,Alternatives: U.S. - Volatility,$943.10M,iPath Series B S&P 500 VIX Short Term Futures ETN,VXX,Barclays Capital Inc.,--,--,-45.69%,18.24%,iPath Series B S&P 500 VIX Short Term Futures ETN,-65.04%,13.30%,28.76%,iPath Series B S&P 500 VIX Short Term Futures ETN,$727.14M,-$398.00M,-$83.32M,$113.28M,"$1,782.51M"
384,0.20%,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade Long-Term",$933.72M,PIMCO 15+ Year US TIPS Index ETF,LTPZ,PIMCO,7.94%,4.62%,13.42%,-6.23%,PIMCO 15+ Year US TIPS Index ETF,-0.21%,-4.30%,-7.36%,PIMCO 15+ Year US TIPS Index ETF,$97.00M,$103.39M,$13.36M,$31.52M,$681.97M
385,0.08%,Equity: U.S. Consumer Staples,$933.66M,Fidelity MSCI Consumer Staples Index ETF,FSTA,Fidelity,10.07%,--,16.10%,-0.97%,Fidelity MSCI Consumer Staples Index ETF,15.65%,4.74%,-3.28%,Fidelity MSCI Consumer Staples Index ETF,-$42.36M,$75.82M,$53.08M,$57.68M,$274.36M
386,0.40%,Equity: U.S. Health Care,$929.82M,Invesco S&P 500 Equal Weight Health Care ETF,RYH,Invesco,14.64%,15.78%,15.41%,-8.71%,Invesco S&P 500 Equal Weight Health Care ETF,6.78%,-5.40%,-9.84%,Invesco S&P 500 Equal Weight Health Care ETF,$72.60M,-$28.00M,$15.34M,$15.34M,-$58.79M
387,0.15%,Equity: U.S. - Large Cap,$910.61M,Franklin LibertyQ U.S. Equity ETF,FLQL,Franklin Templeton,--,--,16.55%,-5.75%,Franklin LibertyQ U.S. Equity ETF,15.36%,-1.36%,-7.29%,Franklin LibertyQ U.S. Equity ETF,-$779.77M,-$38.10M,-$18.41M,-$4.36M,-$11.56M
388,0.63%,Equity: U.S. - Small Cap,$909.22M,First Trust Small Cap Core AlphaDEX Fund,FYX,First Trust,10.51%,10.88%,14.73%,-6.41%,First Trust Small Cap Core AlphaDEX Fund,6.06%,-6.85%,-7.70%,First Trust Small Cap Core AlphaDEX Fund,$121.00M,$20.62M,$0.41M,$0.41M,$135.43M
389,0.68%,Equity: U.S. - Large Cap,$906.17M,Nationwide Nasdaq-100 Risk-Managed Income ETF,NUSI,Nationwide,--,--,--,-8.96%,Nationwide Nasdaq-100 Risk-Managed Income ETF,-1.73%,-7.67%,-8.99%,Nationwide Nasdaq-100 Risk-Managed Income ETF,$798.56M,$254.14M,$87.60M,$100.15M,$985.04M
390,0.02%,Equity: U.S. - Total Market,$894.90M,JPMorgan BetaBuilders U.S. Equity ETF,BBUS,JPMorgan Chase,--,--,--,-8.47%,JPMorgan BetaBuilders U.S. Equity ETF,12.21%,-5.70%,-9.19%,JPMorgan BetaBuilders U.S. Equity ETF,$549.94M,$182.01M,$88.63M,$92.97M,$776.80M
391,0.38%,Equity: U.S. - High Dividend Yield,$891.36M,WisdomTree U.S. High Dividend Fund,DHS,WisdomTree,8.27%,10.68%,10.91%,2.90%,WisdomTree U.S. High Dividend Fund,23.11%,6.86%,1.57%,WisdomTree U.S. High Dividend Fund,-$14.57M,$28.52M,$12.57M,$12.57M,-$132.67M
392,0.41%,Equity: U.S. Capital Markets,$889.57M,iShares U.S. Broker-Dealers & Securities Exchanges ETF,IAI,Blackrock,16.64%,18.25%,21.07%,-6.74%,iShares U.S. Broker-Dealers & Securities Exchanges ETF,25.32%,-9.54%,-6.62%,iShares U.S. Broker-Dealers & Securities Exchanges ETF,$603.97M,-$18.24M,-$30.84M,-$25.33M,$552.65M
393,0.60%,Equity: U.S. - Small Cap,$884.68M,Global X Russell 2000 Covered Call ETF,RYLD,"Mirae Asset Global Investments Co., Ltd.",--,--,--,-6.45%,Global X Russell 2000 Covered Call ETF,10.62%,-7.94%,-7.04%,Global X Russell 2000 Covered Call ETF,$931.55M,$446.12M,$143.39M,$188.57M,$971.33M
394,0.45%,Equity: U.S. Software & Services,$878.34M,WisdomTree Cloud Computing Fund,WCLD,WisdomTree,--,--,--,-22.52%,WisdomTree Cloud Computing Fund,-25.78%,-35.01%,-20.63%,WisdomTree Cloud Computing Fund,-$147.82M,-$32.63M,-$65.79M,-$81.52M,$845.85M
395,0.03%,"Fixed Income: U.S. - Government, Treasury Investment Grade Ultra-Short Term",$875.15M,iShares 0-3 Month Treasury Bond ETF,SGOV,Blackrock,--,--,--,-0.01%,iShares 0-3 Month Treasury Bond ETF,0.03%,0.02%,-0.00%,iShares 0-3 Month Treasury Bond ETF,$30.01M,$80.01M,$60.01M,$60.01M,$865.11M
396,0.95%,"Leveraged Equity: U.S. Oil, Gas & Consumable Fuels",$875.00M,MicroSectors U.S. Big Oil Index 3X Leveraged ETN,NRGU,BMO,--,--,--,65.68%,MicroSectors U.S. Big Oil Index 3X Leveraged ETN,223.10%,20.32%,59.18%,MicroSectors U.S. Big Oil Index 3X Leveraged ETN,$22.70M,$0.00M,$0.00M,$0.00M,$288.14M
397,0.41%,Equity: U.S. - Small Cap,$868.86M,ProShares Russell 2000 Dividend Growers ETF,SMDV,ProShares,4.58%,--,5.88%,-2.36%,ProShares Russell 2000 Dividend Growers ETF,9.51%,-0.24%,-3.98%,ProShares Russell 2000 Dividend Growers ETF,$108.48M,$39.45M,$4.68M,$5.99M,$287.44M
398,0.95%,Inverse Equity: U.S. - Large Cap,$866.52M,ProShares Short QQQ,PSQ,ProShares,-22.16%,-19.77%,-26.70%,14.36%,ProShares Short QQQ,-9.48%,7.91%,14.68%,ProShares Short QQQ,$451.24M,$264.93M,$317.19M,$308.51M,$865.98M
399,0.03%,Equity: U.S. - Total Market,$862.34M,iShares Morningstar U.S. Equity ETF,ILCB,Blackrock,14.25%,14.59%,19.38%,-8.60%,iShares Morningstar U.S. Equity ETF,10.14%,-6.10%,-9.23%,iShares Morningstar U.S. Equity ETF,-$83.49M,-$13.41M,$6.21M,$6.21M,-$94.36M
400,0.95%,Leveraged Equity: U.S. Information Technology,$860.54M,ProShares Ultra Technology,ROM,ProShares,47.32%,36.28%,61.14%,-26.66%,ProShares Ultra Technology,19.11%,-16.21%,-26.62%,ProShares Ultra Technology,-$99.55M,-$58.48M,-$54.38M,-$41.64M,-$162.28M
401,0.33%,Equity: U.S. - Mid Cap,$855.80M,Invesco S&P Midcap Momentum ETF,XMMO,Invesco,20.46%,14.77%,17.75%,-8.75%,Invesco S&P Midcap Momentum ETF,-4.25%,-11.15%,-10.72%,Invesco S&P Midcap Momentum ETF,-$56.09M,-$67.02M,-$23.92M,-$49.30M,$286.02M
402,0.15%,Equity: U.S. - Mid Cap Growth,$849.62M,Vanguard S&P Mid-Cap 400 Growth ETF,IVOG,Vanguard,10.71%,12.05%,13.98%,-11.22%,Vanguard S&P Mid-Cap 400 Growth ETF,-3.20%,-11.54%,-12.64%,Vanguard S&P Mid-Cap 400 Growth ETF,-$2.20M,$26.68M,$13.58M,$18.83M,-$112.29M
