ticker,aum,expense,segment,name,issuer,return_ytd,return_5y,return_1y,return_1m,return_3y,return_10y,return_3m,flow_3y,flow_3m,flow_1y,flow_ytd,flow_1m
IBDO,"1,680,000,000 ",0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",iShares iBonds Dec 2023 Term Corporate ETF,Blackrock,-0.35%,3.42%,-0.56%,-0.31%,4.12%,--,-0.57%,"$1,113.50M",$35.95M,$299.36M,$20.49M,$33.32M
COWZ,"1,670,000,000 ",0.49%,Equity: U.S. - Large Cap,Pacer U.S. Cash Cows 100 ETF,Pacer Advisors,-2.00%,15.21%,29.32%,-0.24%,19.99%,--,1.86%,"$1,323.62M",$732.28M,"$1,308.99M",$425.74M,$472.46M
DFAU,"1,660,000,000 ",0.12%,Equity: U.S. - Total Market,Dimensional U.S. Core Equity Market ETF,Dimensional Fund Advisors LP,-8.67%,--,11.96%,-7.86%,--,--,-5.28%,"$1,376.05M",$430.56M,"$1,304.70M",$123.70M,$159.90M
QDF,"1,620,000,000 ",0.37%,Equity: U.S. - Total Market,FlexShares Quality Dividend Index Fund,Northern Trust,-6.73%,10.71%,13.94%,-5.41%,13.78%,--,-1.79%,-$508.54M,$4.31M,-$23.93M,$6.09M,$3.06M
FLCB,"1,600,000,000 ",0.15%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",Franklin Liberty U.S. Core Bond ETF,Franklin Templeton,-2.25%,--,-3.57%,-2.19%,--,--,-2.08%,"$1,553.26M",-$24.17M,$125.93M,-$58.24M,-$58.24M
HNDL,"1,600,000,000 ",0.97%,Asset Allocation:Asset Allocation Target Outcome,Strategy Shares NASDAQ 7 HANDL Index ETF,Strategy Shares,-6.07%,--,1.33%,-5.16%,9.38%,--,-4.23%,"$1,658.35M",$423.56M,"$1,424.98M",$190.11M,$217.94M
IBDP,"1,580,000,000 ",0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",iShares iBonds Dec 2024 Term Corporate ETF,Blackrock,-0.66%,3.86%,-1.29%,-0.62%,4.67%,--,-0.96%,"$1,193.00M",$125.80M,$413.21M,$21.95M,$49.15M
TNA,"1,580,000,000 ",1.12%,Leveraged Equity: U.S. - Small Cap,Direxion Daily Small Cap Bull 3x Shares,Direxion,-32.78%,1.95%,-32.28%,-32.34%,1.18%,15.69%,-38.88%,-$306.24M,$708.48M,$399.07M,$242.01M,-$34.33M
IBDN,"1,580,000,000 ",0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Short-Term",iShares iBonds Dec 2022 Term Corporate ETF,Blackrock,-0.08%,2.86%,0.07%,-0.08%,3.25%,--,-0.05%,$918.30M,$5.01M,$142.51M,$2.51M,$12.56M
MDYG,"1,570,000,000 ",0.15%,Equity: U.S. - Mid Cap Growth,SPDR S&P 400 Mid Cap Growth ETF,State Street Global Advisors,-13.34%,10.54%,-2.97%,-12.09%,13.57%,12.03%,-11.98%,-$354.18M,$65.64M,-$426.54M,$17.57M,$17.57M
TILT,"1,570,000,000 ",0.25%,Equity: U.S. - Total Market,FlexShares Morningstar US Market Factor Tilt Index Fund,Northern Trust,-8.47%,12.96%,11.98%,-7.66%,17.39%,13.47%,-6.20%,-$427.97M,-$53.59M,-$50.94M,$0.00M,-$9.16M
USMC,"1,560,000,000 ",0.12%,Equity: U.S. - Large Cap,Principal U.S. Mega-Cap ETF,Principal,-7.88%,--,14.44%,-7.30%,17.90%,--,-3.58%,-$700.96M,-$513.73M,-$531.73M,-$172.00M,-$172.00M
FDIS,"1,560,000,000 ",0.08%,Equity: U.S. Consumer Discretionary,Fidelity MSCI Consumer Discretionary Index ETF,Fidelity,-13.12%,19.12%,1.16%,-12.48%,23.79%,--,-11.28%,$431.42M,$59.72M,$163.42M,-$220.00M,-$211.13M
FXL,"1,520,000,000 ",0.61%,Equity: U.S. Information Technology,First Trust Technology AlphaDEX Fund,First Trust,-14.97%,23.58%,-1.87%,-14.95%,24.81%,18.18%,-14.46%,"-$1,759.14M","-$1,034.79M","-$1,170.18M",-$176.01M,-$195.85M
PKW,"1,520,000,000 ",0.64%,Equity: U.S. - Total Market,Invesco BuyBack Achievers ETF,Invesco,-7.88%,12.93%,16.63%,-7.00%,17.94%,13.78%,-6.32%,-$35.48M,-$233.79M,$232.34M,$67.64M,$67.68M
FBT,"1,520,000,000 ",0.55%,Equity: U.S. Biotechnology,First Trust NYSE Arca Biotechnology Index Fund,First Trust,-11.56%,9.05%,-20.43%,-13.68%,0%,13.99%,-13.40%,"-$1,084.31M",-$63.34M,-$259.45M,-$7.33M,-$7.33M
SH,"1,510,000,000 ",0.90%,Inverse Equity: U.S. - Large Cap,ProShares Short S&P500,ProShares,9.25%,-15.54%,-14.87%,8.30%,-19.92%,-14.91%,3.98%,"$1,171.89M",$42.93M,$20.95M,$171.84M,$165.31M
MDYV,"1,510,000,000 ",0.15%,Equity: U.S. - Mid Cap Value,SPDR S&P 400 Mid Cap Value ETF,State Street Global Advisors,-5.54%,9.17%,17.67%,-3.81%,13.36%,12.05%,-3.29%,-$17.24M,-$33.94M,-$319.29M,-$5.05M,-$1.49M
IYJ,"1,510,000,000 ",0.42%,Equity: U.S. Industrials,iShares U.S. Industrials ETF,Blackrock,-7.89%,12.13%,8.91%,-6.64%,15.25%,13.24%,-8.08%,$225.74M,-$42.53M,$100.85M,-$127.95M,-$133.58M
TDTT,"1,510,000,000 ",0.18%,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade Intermediate",FlexShares iBoxx 3 Year Target Duration TIPS Index Fund,Northern Trust,-1.06%,3.41%,3.69%,-0.57%,5.58%,1.78%,-0.93%,-$35.07M,$94.75M,$171.57M,$15.68M,$24.87M
FXO,"1,500,000,000 ",0.62%,Equity: U.S. Financials,First Trust Financials AlphaDEX Fund,First Trust,-2.38%,10.84%,27.64%,-1.61%,15.78%,12.59%,-5.60%,$523.07M,$83.06M,$531.73M,-$83.18M,-$136.40M
JPHY,"1,500,000,000 ",0.24%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",JPMorgan High Yield Research Enhanced ETF,JPMorgan Chase,-2.60%,4.59%,1.26%,-2.73%,5.68%,--,-1.61%,"$1,372.31M",-$40.82M,$506.77M,-$15.18M,-$10.01M
LCTU,"1,490,000,000 ",0.14%,Equity: U.S. Low Carbon,BlackRock U.S. Carbon Transition Readiness ETF,Blackrock,-9.11%,--,--,-8.48%,--,--,-5.81%,"$1,437.91M",$138.35M,"$1,437.91M",$1.33M,$2.66M
TLH,"1,480,000,000 ",0.15%,"Fixed Income: U.S. - Government, Treasury Investment Grade Long-Term",iShares 10+ Year Investment Grade Corporate Bond ETF,Blackrock,-4.36%,3.49%,-7.40%,-4.64%,4.50%,2.91%,-2.86%,$599.16M,$1.19M,$162.78M,$0.05M,$0.05M
FPX,"1,470,000,000 ",0.57%,Equity: U.S. - Total Market,First Trust U.S. Equity Opportunities ETF,First Trust,-18.09%,13.05%,-19.87%,-17.97%,13.77%,15.44%,-23.16%,-$4.02M,-$146.40M,-$185.48M,-$73.77M,-$79.99M
PDP,"1,460,000,000 ",0.62%,Equity: U.S. - Total Market,Invesco DWA Momentum ETF,Invesco,-17.67%,12.73%,-11.94%,-17.24%,14.83%,12.41%,-19.06%,-$463.19M,-$88.06M,-$386.99M,-$484.38M,-$169.20M
ESML,"1,450,000,000 ",0.17%,Equity: U.S. - Small Cap,iShares ESG Aware MSCI USA Small-Cap ETF,Blackrock,-10.09%,--,-0.46%,-9.38%,14.26%,--,-11.12%,"$1,335.74M",$402.31M,$929.32M,$191.98M,$220.10M
IVOO,"1,450,000,000 ",0.10%,Equity: U.S. - Mid Cap,Vanguard S&P Mid-Cap 400 ETF,Vanguard,-9.63%,10.12%,6.93%,-8.14%,13.79%,12.19%,-7.85%,$216.95M,$5.38M,$180.13M,$9.10M,-$0.44M
IAT,"1,440,000,000 ",0.41%,Equity: U.S. Regional Banks,iShares U.S. Regional Banks ETF,Blackrock,1.62%,8.77%,33.19%,2.77%,14.43%,13.37%,-3.70%,$670.85M,$125.48M,$956.79M,$54.69M,$57.78M
STPZ,"1,430,000,000 ",0.20%,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade Short-Term",PIMCO 1-5 Year US TIPS Index ETF,PIMCO,-1.18%,2.98%,3.71%,-0.57%,4.78%,1.55%,-0.86%,$595.23M,$256.10M,$745.03M,$96.18M,$96.18M
FXH,"1,420,000,000 ",0.61%,Equity: U.S. Health Care,First Trust Health Care AlphaDEX Fund,First Trust,-13.78%,12.70%,-3.08%,-13.45%,13.14%,14.19%,-10.51%,"-$1,162.46M",-$4.21M,-$3.86M,$19.02M,$25.20M
BBMC,"1,410,000,000 ",0.07%,Equity: U.S. - Mid Cap,JPMorgan BetaBuilders U.S. Mid Cap Equity ETF,JPMorgan Chase,-11.59%,--,-0.99%,-10.71%,--,--,-12.65%,"$1,141.56M",-$87.08M,-$84.03M,-$4.45M,$0.13M
BBRE,"1,410,000,000 ",0.11%,Equity: U.S. REITs,JPMorgan BetaBuilders MSCI U.S. REIT ETF,JPMorgan Chase,-9.32%,--,26.67%,-6.37%,11.81%,--,-2.44%,"$1,122.21M",-$19.06M,$117.38M,-$17.45M,-$25.68M
FIW,"1,390,000,000 ",0.54%,Equity: U.S. Water,First Trust Water ETF,First Trust,-14.67%,15.31%,9.14%,-12.73%,20.41%,14.60%,-9.74%,$831.10M,$133.57M,$612.60M,$9.21M,$27.97M
SRVR,"1,380,000,000 ",0.60%,Equity: U.S. Specialized REITs,Pacer Benchmark Data & Infrastructure Real Estate SCTR ETF,Pacer Advisors,-15.94%,--,-0.36%,-13.17%,14.88%,--,-10.77%,"$1,298.97M",-$85.27M,$351.35M,-$38.04M,-$38.04M
IYC,"1,380,000,000 ",0.43%,Equity: U.S. Consumer Discretionary,iShares U.S. Consumer Discretionary ETF,Blackrock,-13.43%,14.08%,2.13%,-12.70%,15.31%,15.60%,-12.47%,$120.08M,$161.72M,$53.44M,$77.72M,$81.93M
VTWV,"1,360,000,000 ",0.15%,Equity: U.S. - Small Cap Value,Vanguard Russell 2000 Value ETF,Vanguard,-6.97%,7.25%,9.90%,-6.30%,11.59%,10.41%,-7.21%,$972.49M,$461.78M,$743.13M,$399.41M,$410.27M
PSK,"1,330,000,000 ",0.45%,"Fixed Income: U.S. - Corporate, Preferred",SPDR ICE Preferred Securities ETF,State Street Global Advisors,-3.38%,4.72%,-0.14%,-2.52%,5.41%,5.24%,-3.14%,$764.26M,-$112.27M,$53.55M,-$46.64M,-$48.77M
TIPX,"1,330,000,000 ",0.15%,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade Intermediate",SPDR Bloomberg Barclays 1-10 Year TIPS ETF,State Street Global Advisors,-1.85%,3.94%,2.93%,-1.24%,6.12%,--,-1.65%,$998.31M,$353.05M,$728.32M,$179.36M,$202.51M
PTBD,"1,320,000,000 ",0.60%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Pacer Trendpilot U.S. Bond ETF,Pacer Advisors,-2.97%,--,-2.24%,-2.90%,--,--,-2.30%,"$1,358.35M",$48.59M,$873.51M,$21.57M,$40.38M
TBT,"1,310,000,000 ",0.92%,"Inverse Fixed Income: U.S. - Government, Treasury Investment Grade Long-Term",ProShares UltraShort 20+ Year Treasury,ProShares,10.42%,-13.89%,7.87%,10.81%,-18.81%,-12.86%,3.50%,$761.03M,-$189.49M,$773.26M,-$140.98M,-$140.98M
EDV,"1,310,000,000 ",0.06%,"Fixed Income: U.S. - Government, Treasury Investment Grade Long-Term",Vanguard Extended Duration Treasury ETF,Vanguard,-6.16%,7.23%,-8.66%,-6.62%,9.26%,5.58%,-3.37%,$304.99M,$106.26M,$222.86M,$42.18M,$87.55M
XSD,"1,300,000,000 ",0.35%,Equity: U.S. Semiconductors,SPDR S&P Semiconductor ETF,State Street Global Advisors,-19.19%,27.97%,4.16%,-18.39%,40.15%,23.44%,-6.52%,$605.07M,$293.28M,$164.71M,$14.29M,$20.40M
IBDQ,"1,300,000,000 ",0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",iShares iBonds Dec 2025 Term Corporate ETF,Blackrock,-1.29%,4.35%,-2.47%,-1.29%,5.37%,--,-1.61%,$923.56M,$68.58M,$351.23M,$17.04M,$35.53M
ICVT,"1,290,000,000 ",0.20%,"Fixed Income: U.S. - Corporate, Convertible",iShares Convertible Bond ETF,Blackrock,-9.25%,14.66%,-14.86%,-9.73%,18.80%,--,-15.16%,$897.73M,-$235.73M,$248.42M,-$206.38M,-$206.38M
REZ,"1,290,000,000 ",0.48%,Equity: U.S. Real Estate,iShares Residential and Multisector Real Estate ETF,Blackrock,-7.95%,11.60%,34.61%,-4.87%,13.90%,10.84%,0.08%,$784.18M,$132.26M,$693.03M,$184.57M,$199.03M
XMLV,"1,280,000,000 ",0.25%,Equity: U.S. - Mid Cap,Invesco S&P MidCap Low Volatility ETF,Invesco,-7.75%,7.50%,9.12%,-5.40%,6.71%,--,-2.36%,-$778.73M,-$127.79M,-$617.98M,-$15.82M,-$22.76M
NULV,"1,270,000,000 ",0.25%,Equity: U.S. - Large Cap Value,Nuveen ESG Large-Cap Value ETF,Nuveen Securities,-4.93%,10.92%,16.22%,-3.34%,12.51%,--,-2.16%,"$1,056.39M",$170.98M,$506.40M,$55.89M,$75.14M
SPYX,"1,270,000,000 ",0.20%,Equity: U.S. - Large Cap,SPDR S&P 500 Fossil Fuel Reserves Free ETF,State Street Global Advisors,-9.22%,16.03%,13.88%,-8.41%,20.01%,--,-4.95%,$623.82M,$88.59M,$209.82M,-$2.74M,$7.89M
VIOV,"1,260,000,000 ",0.15%,Equity: U.S. - Small Cap Value,Vanguard S&P Small-Cap 600 Value ETF,Vanguard,-5.37%,8.97%,12.38%,-4.69%,12.58%,11.89%,-4.95%,$602.85M,$1.11M,$311.38M,-$0.03M,-$4.55M
LQDH,"1,230,000,000 ",0.24%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",iShares Interest Rate Hedged Corporate Bond ETF,Blackrock,-1.33%,2.91%,0.64%,-1.23%,2.92%,--,-1.88%,$945.54M,$553.92M,$788.08M,$166.86M,$185.99M
SPHB,"1,230,000,000 ",0.25%,Equity: U.S. - Large Cap,Invesco S&P 500 High Beta ETF,Invesco,-7.96%,15.81%,25.39%,-7.40%,24.66%,14.79%,-7.06%,$730.75M,-$198.93M,$399.51M,-$152.52M,-$179.54M
UITB,"1,230,000,000 ",0.40%,"Fixed Income: U.S. - Broad Market, Broad-based Intermediate",VictoryShares USAA Core Intermediate-Term Bond ETF,Victory Capital,-2.15%,--,-1.68%,-2.10%,5.79%,--,-1.81%,"$1,052.38M",$143.29M,$591.09M,$44.45M,$44.45M
REM,"1,220,000,000 ",0.48%,Equity: U.S. Mortgage REITs,iShares Mortgage Real Estate ETF,Blackrock,-4.14%,6.90%,9.40%,-4.61%,-0.14%,5.61%,-9.80%,$267.26M,-$130.78M,-$184.14M,-$20.42M,-$41.28M
SDOG,"1,210,000,000 ",0.40%,Equity: U.S. - Large Cap,ALPS Sector Dividend Dogs ETF,SS&C,0.13%,8.57%,19.69%,1.88%,12.84%,--,2.45%,-$943.77M,-$10.22M,-$13.62M,$4.19M,$4.19M
FNGU,"1,210,000,000 ",0.95%,Leveraged Equity: U.S. Big Tech,MicroSectors FANG+ Index 3X Leveraged ETN,BMO,-38.32%,--,-33.57%,-38.95%,86.03%,--,-46.01%,$465.05M,$0.00M,$213.31M,$0.00M,$0.00M
PEJ,"1,210,000,000 ",0.55%,"Equity: U.S. Hotels, Restaurants & Leisure",Invesco Dynamic Leisure and Entertainment ETF,Invesco,-7.68%,2.52%,4.13%,-7.56%,2.91%,9.39%,-11.69%,$865.21M,-$82.54M,$272.41M,-$16.50M,-$17.98M
QQEW,"1,210,000,000 ",0.58%,Equity: U.S. - Large Cap,First Trust Nasdaq-100 Equal Weighted Index Fund,First Trust,-13.30%,16.05%,-0.96%,-12.81%,19.80%,15.19%,-11.96%,$230.08M,-$8.91M,-$24.27M,-$11.28M,-$11.28M
FENY,"1,210,000,000 ",0.08%,Equity: U.S. Energy,Fidelity MSCI Energy Index ETF,Fidelity,16.07%,0.69%,67.06%,17.15%,6.08%,--,8.98%,$460.87M,$31.29M,$132.57M,$38.39M,$25.38M
IHF,"1,200,000,000 ",0.42%,Equity: U.S. Health Care Providers & Services,iShares U.S. Healthcare Providers ETF,Blackrock,-10.31%,16.26%,6.27%,-9.42%,14.33%,16.51%,-5.52%,-$48.90M,$13.89M,-$33.91M,$13.89M,$13.89M
FTA,"1,200,000,000 ",0.60%,Equity: U.S. - Large Cap Value,First Trust Large Cap Value AlphaDEX Fund,First Trust,-1.90%,7.67%,21.06%,-0.12%,11.69%,9.50%,1.28%,-$109.77M,$82.87M,$234.92M,$42.08M,$49.01M
IWX,"1,200,000,000 ",0.20%,Equity: U.S. - Large Cap Value,iShares Russell Top 200 Value ETF,Blackrock,-3.35%,9.88%,17.35%,-2.24%,13.13%,11.69%,-1.66%,$516.52M,-$11.11M,$84.86M,-$24.86M,-$14.35M
FUTY,"1,180,000,000 ",0.08%,Equity: U.S. Utilities,Fidelity MSCI Utilities Index ETF,Fidelity,-6.84%,9.81%,8.38%,-4.37%,10.34%,--,-0.18%,$517.59M,$26.75M,$13.43M,$2.05M,$8.97M
CDC,"1,170,000,000 ",0.35%,Equity: U.S. - Large Cap,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,Victory Capital,-1.48%,13.64%,27.52%,0.44%,20.03%,--,2.64%,$149.87M,$163.16M,$307.51M,$81.65M,$92.06M
FTXR,"1,170,000,000 ",0.60%,Equity: U.S. Transportation,First Trust Nasdaq Transportation ETF,First Trust,-8.28%,6.90%,5.79%,-7.31%,11.96%,--,-5.23%,$945.89M,$56.10M,$252.22M,$23.61M,$23.61M
BSCP,"1,160,000,000 ",0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",Invesco BulletShares 2025 Corporate Bond ETF,Invesco,-1.46%,4.18%,-2.49%,-1.46%,5.09%,--,-1.68%,$983.79M,$91.88M,$285.74M,$19.54M,$52.35M
IMCG,"1,160,000,000 ",0.06%,Equity: U.S. - Mid Cap Growth,iShares Morningstar Mid-Cap Growth ETF,Blackrock,-15.70%,17.37%,-4.73%,-14.96%,20.59%,14.46%,-16.04%,-$357.90M,$25.59M,-$339.79M,-$66.19M,-$66.19M
VTHR,"1,160,000,000 ",0.10%,Equity: U.S. - Total Market,Vanguard Russell 3000 ETF,Vanguard,-9.34%,14.94%,10.44%,-8.71%,18.94%,14.43%,-6.84%,$401.75M,$66.48M,$135.27M,$5.10M,-$92.54M
FEX,"1,150,000,000 ",0.59%,Equity: U.S. - Large Cap,First Trust Large Cap Core AlphaDEX Fund,First Trust,-8.21%,11.18%,12.46%,-6.95%,14.99%,11.58%,-6.32%,-$548.72M,$19.11M,-$11.12M,$10.07M,$10.07M
QLTA,"1,150,000,000 ",0.15%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",iShares Aaa-A Rated Corporate Bond ETF,Blackrock,-3.35%,3.76%,-4.44%,-3.50%,4.71%,--,-3.32%,$911.62M,$41.85M,-$195.87M,$10.78M,$10.78M
LRGF,"1,150,000,000 ",0.20%,Equity: U.S. - Total Market,iShares MSCI USA Multifactor ETF,Blackrock,-8.63%,11.34%,10.24%,-7.12%,14.38%,--,-4.18%,-$195.00M,-$28.69M,$158.86M,-$21.78M,-$21.78M
FTXN,"1,140,000,000 ",0.60%,Equity: U.S. Energy,First Trust Nasdaq Oil & Gas ETF,First Trust,12.29%,1.56%,71.80%,13.70%,7.82%,--,1.49%,"$1,001.89M",$958.25M,$999.50M,$87.58M,$114.25M
RWL,"1,140,000,000 ",0.39%,Equity: U.S. - Large Cap,Invesco S&P 500 Revenue ETF,Invesco,-4.44%,13.44%,20.23%,-3.06%,17.28%,14.06%,-0.58%,-$202.97M,$56.64M,$99.07M,$50.05M,$54.05M
JAGG,"1,110,000,000 ",0.07%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",JPMorgan U.S. Aggregate Bond ETF,JPMorgan Chase,-2.43%,--,-3.72%,-2.36%,3.55%,--,-2.19%,"$1,100.62M",$58.12M,$305.33M,$22.89M,$22.89M
IWC,"1,100,000,000 ",0.60%,Equity: U.S. - Micro Cap,iShares Micro-Cap ETF,Blackrock,-12.04%,8.67%,-9.62%,-12.54%,12.03%,11.16%,-16.18%,-$70.57M,$16.54M,$74.89M,-$20.12M,-$20.12M
XSLV,"1,100,000,000 ",0.25%,Equity: U.S. - Small Cap,Invesco S&P SmallCap Low Volatility ETF,Invesco,-7.85%,4.49%,13.32%,-6.18%,4.00%,--,-2.07%,-$267.02M,-$112.81M,-$621.57M,-$65.66M,-$68.27M
AGGY,"1,080,000,000 ",0.12%,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade",WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,WisdomTree,-2.83%,3.15%,-3.96%,-2.88%,3.85%,--,-2.57%,$691.36M,$5.02M,-$40.87M,$5.12M,$5.12M
IGHG,"1,080,000,000 ",0.30%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",ProShares Investment Grade-Interest Rate Hedged ETF,ProShares,-1.12%,2.58%,-0.20%,-1.21%,3.19%,--,-2.37%,$703.45M,$79.25M,$633.00M,$52.20M,$52.20M
SUSB,"1,070,000,000 ",0.12%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Short-Term",iShares ESG Aware 1-5 Year USD Corporate Bond ETF,Blackrock,-1.05%,--,-1.74%,-1.01%,3.10%,--,-1.32%,"$1,029.85M",$31.99M,$516.08M,$19.09M,$24.21M
PFXF,"1,070,000,000 ",0.40%,"Fixed Income: U.S. - Corporate, Preferred",VanEck Preferred Securities ex Financials ETF,VanEck,-6.54%,6.52%,4.50%,-5.55%,8.63%,--,-4.15%,$506.72M,$52.93M,$242.96M,$29.07M,$36.70M
FTC,"1,070,000,000 ",0.60%,Equity: U.S. - Large Cap Growth,First Trust Large Cap Growth AlphaDEX Fund,First Trust,-15.98%,15.17%,2.08%,-15.38%,18.35%,14.22%,-15.06%,-$274.60M,-$47.41M,-$40.77M,-$46.82M,-$52.79M
REGL,"1,050,000,000 ",0.41%,Equity: U.S. - Mid Cap,ProShares S&P MidCap 400 Dividend Aristocrats ETF,ProShares,-5.55%,7.07%,10.66%,-3.39%,9.76%,--,-1.83%,$365.98M,$18.95M,$89.64M,$13.90M,$13.90M
MLPA,"1,050,000,000 ",0.46%,Equity: U.S. MLPs,Global X MLP ETF,"Mirae Asset Global Investments Co., Ltd.",9.55%,-3.44%,42.68%,13.24%,0.06%,--,2.96%,$490.84M,-$55.56M,$122.37M,-$88.46M,-$85.03M
XAR,"1,050,000,000 ",0.35%,Equity: U.S. Aerospace & Defense,SPDR S&P Aerospace & Defense ETF,State Street Global Advisors,-5.26%,12.30%,-5.29%,-5.95%,9.33%,15.68%,-8.93%,-$257.71M,-$73.79M,-$180.49M,-$14.50M,-$17.40M
SMLF,"1,050,000,000 ",0.30%,Equity: U.S. - Small Cap,iShares MSCI USA Small-Cap Multifactor ETF,Blackrock,-9.00%,9.09%,6.49%,-7.64%,11.44%,--,-6.73%,$619.67M,$34.24M,$206.42M,$5.29M,$16.72M
NUSC,"1,040,000,000 ",0.30%,Equity: U.S. - Small Cap,Nuveen ESG Small-Cap ETF,Nuveen Securities,-9.59%,11.46%,-1.78%,-8.81%,14.83%,--,-10.23%,$885.82M,$127.82M,$519.43M,$30.13M,$36.41M
QQQJ,"1,030,000,000 ",0.15%,Equity: U.S. - Large Cap,Invesco NASDAQ Next Gen 100 ETF,Invesco,-16.06%,--,-12.23%,-16.01%,--,--,-18.27%,"$1,022.20M",$1.43M,$370.44M,-$40.05M,-$48.12M
PEY,"1,030,000,000 ",0.53%,Equity: U.S. - High Dividend Yield,Invesco High Yield Equity Dividend Achievers ETF,Invesco,0.15%,8.43%,21.98%,1.80%,12.60%,12.78%,2.37%,$167.85M,$29.98M,$131.03M,$24.36M,$24.36M
HYDW,"1,020,000,000 ",0.20%,"Fixed Income: U.S. - Corporate, Broad-based High Yield",Xtrackers Low Beta High Yield Bond ETF,DWS,-2.11%,--,0.33%,-2.21%,4.41%,--,-1.53%,$886.24M,$138.03M,$998.16M,$0.00M,$0.00M
SECT,"1,010,000,000 ",0.78%,Equity: U.S. - Large Cap,Main Sector Rotation ETF,Main Management,-8.42%,--,12.31%,-7.66%,17.39%,--,-4.52%,$338.66M,$61.70M,$241.40M,$9.11M,$13.61M
DTD,"1,010,000,000 ",0.28%,Equity: U.S. - Total Market,WisdomTree U.S. Total Dividend Fund,WisdomTree,-3.78%,11.58%,18.49%,-2.39%,14.50%,12.40%,1.08%,$152.84M,$25.68M,$38.32M,-$3.20M,$0.00M
CFO,"1,010,000,000 ",0.35%,Equity: U.S. - Large Cap,VictoryShares U.S. 500 Enhanced Volatility Wtd Index ETF,Victory Capital,-8.27%,12.86%,13.31%,-6.77%,18.16%,--,-5.02%,-$259.52M,$15.36M,$123.61M,$7.78M,$7.78M
FLCO,"1,000,000,000 ",0.35%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",Franklin Liberty Investment Grade Corporate ETF,Franklin Templeton,-3.39%,4.02%,-4.46%,-3.49%,5.54%,--,-3.26%,"$1,007.76M",$25.82M,$18.97M,$6.34M,$6.34M
SPLB,"1,000,000,000 ",0.04%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Long-Term",SPDR Portfolio Long Term Corporate Bond ETF,State Street Global Advisors,-5.56%,6.28%,-5.56%,-5.89%,8.45%,5.67%,-5.21%,$503.97M,$165.36M,$107.50M,$5.25M,-$13.75M
IBDR,"998,170,000 ",0.10%,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",iShares iBonds Dec 2026 Term Corporate ETF,Blackrock,-1.84%,4.45%,-3.26%,-1.77%,5.80%,--,-2.04%,$795.41M,$155.94M,$418.89M,$56.70M,$56.70M
FNX,"985,350,000 ",0.60%,Equity: U.S. - Mid Cap,First Trust Mid Cap Core AlphaDEX Fund,First Trust,-8.21%,10.44%,8.52%,-6.92%,14.01%,10.64%,-8.27%,-$79.45M,$4.71M,$89.33M,$5.09M,$5.09M
QUS,"979,390,000 ",0.15%,Equity: U.S. - Total Market,SPDR MSCI USA StrategicFactors ETF,State Street Global Advisors,-8.44%,14.69%,14.27%,-7.36%,17.72%,--,-4.48%,$536.59M,$13.37M,$19.59M,-$7.95M,-$7.95M
JMBS,"968,690,000 ",0.32%,"Fixed Income: U.S. - Government, Mortgage-backed Investment Grade",Janus Henderson Mortgage-Backed Securities ETF,Janus Henderson,-1.54%,--,-2.26%,-1.54%,3.51%,--,-1.77%,$930.22M,$138.64M,$326.04M,$109.61M,$109.61M
MSOS,"966,250,000 ",0.73%,Equity: U.S. Cannabis,AdvisorShares Pure US Cannabis ETF,AdvisorShares,-17.90%,--,-51.78%,-17.15%,--,--,-24.40%,"$1,671.41M",$525.93M,"$1,154.98M",$13.61M,$42.90M
XYLD,"965,040,000 ",0.60%,Equity: U.S. - Large Cap,Global X S&P 500 Covered Call ETF,"Mirae Asset Global Investments Co., Ltd.",-4.63%,8.06%,11.64%,-4.45%,9.98%,--,-2.71%,$918.08M,$368.55M,$862.97M,$121.06M,$158.55M
IWL,"956,590,000 ",0.15%,Equity: U.S. - Large Cap,iShares Russell Top 200 ETF,Blackrock,-8.83%,16.75%,13.50%,-8.29%,20.92%,15.39%,-4.90%,$412.41M,$26.65M,-$29.60M,$21.43M,$21.43M
